timestamp,act,time,ontime
2012-04-03 16:55:38,1,0,0000000,1
2012-04-03 16:55:53,8,0,0000711,0
2012-04-05 17:15:52,6,0,8249701,1
2010-10-29 18:14:06,1,0,0000000,0
2010-11-04 01:16:11,8,2,1682851,0
2010-11-04 01:21:17,6,0,0014508,1
2010-12-15 23:31:53,1,0,0000000,0
2010-12-16 17:01:07,8,0,2984797,0
2010-12-16 17:08:19,6,0,0020482,1
2012-04-03 21:08:32,1,0,0000000,0
2012-04-03 21:45:33,8,0,0105303,0
2012-04-03 21:47:22,6,0,0005168,0
2012-04-03 22:15:02,8,0,0078705,0
2012-04-04 00:07:28,6,0,0319844,1
2012-04-03 16:55:38,1,0,0000000,1
2012-04-03 16:55:53,8,0,0000711,0
2012-04-05 17:15:52,6,0,8249701,1
2010-10-29 18:14:06,1,0,0000000,0
2010-11-04 01:16:11,8,2,1682851,0
2010-11-04 01:21:17,6,0,0014508,1
2010-12-15 23:31:53,1,0,0000000,0
2010-12-16 17:01:07,8,0,2984797,0
2010-12-16 17:08:19,6,0,0020482,1
2012-04-03 21:08:32,1,0,0000000,0
2012-04-03 21:45:33,8,0,0105303,0
2012-04-03 21:47:22,6,0,0005168,0
2012-04-03 22:15:02,8,0,0078705,0
2012-04-04 00:07:28,6,0,0319844,1
2012-04-03 16:55:38,1,0,0000000,1
2012-04-03 16:55:53,8,0,0000711,0
2012-04-05 17:15:52,6,0,8249701,1
2010-10-29 18:14:06,1,0,0000000,0
2010-11-04 01:16:11,8,2,1682851,0
2010-11-04 01:21:17,6,0,0014508,1
2010-12-15 23:31:53,1,0,0000000,0
2010-12-16 17:01:07,8,0,2984797,0
2010-12-16 17:08:19,6,0,0020482,1
2012-04-03 21:08:32,1,0,0000000,0
2012-04-03 21:45:33,8,0,0105303,0
2012-04-03 21:47:22,6,0,0005168,0
2012-04-03 22:15:02,8,0,0078705,0
2012-04-04 00:07:28,6,0,0319844,1
2012-04-03 16:55:38,1,0,0000000,1
2012-04-03 16:55:53,8,0,0000711,0
2012-04-05 17:15:52,6,0,8249701,1
2010-10-29 18:14:06,1,0,0000000,0
2010-11-04 01:16:11,8,2,1682851,0
2010-11-04 01:21:17,6,0,0014508,1
2010-12-15 23:31:53,1,0,0000000,0
2010-12-16 17:01:07,8,0,2984797,0
2010-12-16 17:08:19,6,0,0020482,1
2012-04-03 21:08:32,1,0,0000000,0
2012-04-03 21:45:33,8,0,0105303,0
2012-04-03 21:47:22,6,0,0005168,0
2012-04-03 22:15:02,8,0,0078705,0
2012-04-04 00:07:28,6,0,0319844,1
2012-04-03 16:55:38,1,0,0000000,1
2012-04-03 16:55:53,8,0,0000711,0
2012-04-05 17:15:52,6,0,8249701,1
2010-10-29 18:14:06,1,0,0000000,0
2010-11-04 01:16:11,8,2,1682851,0
2010-11-04 01:21:17,6,0,0014508,1
2010-12-15 23:31:53,1,0,0000000,0
2010-12-16 17:01:07,8,0,2984797,0
2010-12-16 17:08:19,6,0,0020482,1
2012-04-03 21:08:32,1,0,0000000,0
2012-04-03 21:45:33,8,0,0105303,0
2012-04-03 21:47:22,6,0,0005168,0
2012-04-03 22:15:02,8,0,0078705,0
2012-04-04 00:07:28,6,0,0319844,1
2012-04-03 16:55:38,1,0,0000000,1
2012-04-03 16:55:53,8,0,0000711,0
2012-04-05 17:15:52,6,0,8249701,1
2010-10-29 18:14:06,1,0,0000000,0
2010-11-04 01:16:11,8,2,1682851,0
2010-11-04 01:21:17,6,0,0014508,1
2010-12-15 23:31:53,1,0,0000000,0
2010-12-16 17:01:07,8,0,2984797,0
2010-12-16 17:08:19,6,0,0020482,1
2012-04-03 21:08:32,1,0,0000000,0
2012-04-03 21:45:33,8,0,0105303,0
2012-04-03 21:47:22,6,0,0005168,0
2012-04-03 22:15:02,8,0,0078705,0
2012-04-04 00:07:28,6,0,0319844,1
2012-04-03 16:55:38,1,0,0000000,1
2012-04-03 16:55:53,8,0,0000711,0
2012-04-05 17:15:52,6,0,8249701,1
2010-10-29 18:14:06,1,0,0000000,0
2010-11-04 01:16:11,8,2,1682851,0
2010-11-04 01:21:17,6,0,0014508,1
2010-12-15 23:31:53,1,0,0000000,0
2010-12-16 17:01:07,8,0,2984797,0
2010-12-16 17:08:19,6,0,0020482,1
2012-04-03 21:08:32,1,0,0000000,0
2012-04-03 21:45:33,8,0,0105303,0
2012-04-03 21:47:22,6,0,0005168,0
2012-04-03 22:15:02,8,0,0078705,0
2012-04-04 00:07:28,6,0,0319844,1
2012-04-04 00:07:28,6,0,0319844,1
2012-04-04 00:07:28,6,0,0319844,1